rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
36,UCGjEOUI64PO8oaF5XcryRzg,DjClips,https://cn--xtb.noxinfluencer.com/youtube/channel/UCGjEOUI64PO8oaF5XcryRzg,-5,badcase,游戏足球为主，马拉松标签与频道主题不匹配
74,UC73sF-7Ihcs1HpnXEEXZ2ew,Brooke Monk,https://cn--xtb.noxinfluencer.com/youtube/channel/UC73sF-7Ihcs1HpnXEEXZ2ew,-5,badcase,娱乐和ASMR主导，马拉松仅标签命中
232,UCKbWcPGIz0QxmmdEzt9DZxQ,Kanni Dog fan vlog,https://cn--xtb.noxinfluencer.com/youtube/channel/UCKbWcPGIz0QxmmdEzt9DZxQ,-5,badcase,有 Marathon 标签，但近10条几乎全是动物内容
234,UCy-y2o__pb91TAT9WzeRvKA,Athar Hashmi,https://cn--xtb.noxinfluencer.com/youtube/channel/UCy-y2o__pb91TAT9WzeRvKA,2,badcase,宗教/研讨为主，马拉松只是零散出现
246,UCUGtNgniqAmv3oiCGQBoxlA,골드클래스,https://cn--xtb.noxinfluencer.com/youtube/channel/UCUGtNgniqAmv3oiCGQBoxlA,-5,badcase,近况几乎全是狗和村庄内容，不适合
258,UCwTvW0qRQXV-yvBghNVgqKg,France 3 Nouvelle-Aquitaine,https://cn--xtb.noxinfluencer.com/youtube/channel/UCwTvW0qRQXV-yvBghNVgqKg,10,badcase,地方新闻频道，近10条全是时政民生，马拉松仅在标签里
284,UCQXzgllg4Rwabn5orKOY5QA,TriathlonTV Korea,https://cn--xtb.noxinfluencer.com/youtube/channel/UCQXzgllg4Rwabn5orKOY5QA,13,badcase,标签命中，但近期多为汽车内容，马拉松相关性明显不足
294,UCFXNO8bEhII2ocwsqgaMVZg,DevOps by Krupin,https://cn--xtb.noxinfluencer.com/youtube/channel/UCFXNO8bEhII2ocwsqgaMVZg,10,badcase,标签有马拉松，但近期完全是DevOps/编程，受众明显不匹配
295,UC_6fF8YLEzKBuU0NcjoXZYw,Matěj König,https://cn--xtb.noxinfluencer.com/youtube/channel/UC_6fF8YLEzKBuU0NcjoXZYw,10,badcase,马拉松仅是泛体育标签，近期以娱乐和其他体育为主，相关性弱
308,UCsSJmX1O7o29oAejYgfUpww,Britclip,https://cn--xtb.noxinfluencer.com/youtube/channel/UCsSJmX1O7o29oAejYgfUpww,-5,badcase,娱乐、宠物和奇观内容占主轴，马拉松只是零散标签
325,UCQmE_GZWek0ICqoZ-J_Jd3Q,ARIES CONRAD JR OFFICIAL,https://cn--xtb.noxinfluencer.com/youtube/channel/UCQmE_GZWek0ICqoZ-J_Jd3Q,-2,badcase,娱乐/音乐/美食为主，马拉松只是零散出现，不适合推广
333,UCXapBbZyOgvYwOlqYzf8dhg,Hugo Tout Seul,https://cn--xtb.noxinfluencer.com/youtube/channel/UCXapBbZyOgvYwOlqYzf8dhg,1,badcase,娱乐幽默为主，马拉松只是边缘话题
337,UCgLG6U2cVo7bwuF9QxorIpg,AlotMoreMane,https://cn--xtb.noxinfluencer.com/youtube/channel/UCgLG6U2cVo7bwuF9QxorIpg,0,badcase,音乐娱乐挑战号，跑马内容不构成主轴
344,UCUQ_PUKXZpP6oz_ZIWAA_tg,Dipen Singh,https://cn--xtb.noxinfluencer.com/youtube/channel/UCUQ_PUKXZpP6oz_ZIWAA_tg,-2,badcase,播客历史类账号，跑马相关性很弱
426,UCqF-oXjSSYR-gBSAFloq1Bg,Racer Afrid,https://cn--xtb.noxinfluencer.com/youtube/channel/UCqF-oXjSSYR-gBSAFloq1Bg,-5,badcase,以1600米军训短跑为主，和马拉松推广不匹配
428,UCo5E_9jW1RGHrC8I14EGhIA,Balaji ground Unchagaon,https://cn--xtb.noxinfluencer.com/youtube/channel/UCo5E_9jW1RGHrC8I14EGhIA,-5,badcase,以音乐短视频为主，跑步只是弱标签，不适合推广马拉松
470,UC0Mdu50QuF4ejBgmk64j9ZA,Sweta Singh,https://cn--xtb.noxinfluencer.com/youtube/channel/UC0Mdu50QuF4ejBgmk64j9ZA,-5,badcase,宗教短视频为主，近期与马拉松几乎无关
482,UCpC2I42Whsx8_-aBQ5vE7rw,Armando Videos007,https://cn--xtb.noxinfluencer.com/youtube/channel/UCpC2I42Whsx8_-aBQ5vE7rw,10,badcase,近十条几乎全是活动和喜剧，马拉松只是挂标签。
